run_id,model_id,model_family,model_variant,model_status,run_complete,tokenizer,vocab_size,sequence_length,parameter_count,hidden_size,num_layers,num_heads,architecture,target_training_steps,checkpoint_paths,measurement_types,row_count,measurement_count,metric_count,min_training_step,max_training_step,canonical_rows,valid_rows,duplicate_rows
2026-07-28_12-43-24_12345_local,gpt2_bcfm_m3_b16_384x6_s12345,BCFM-M3,block16_partial_step40000,incomplete_40k_of_100k_no_final_eval,False,gpt2,50257,256,52056529.0,384.0,6.0,6.0,BlockDIT RMS 384x6x6 block16,100000.0,logs/train/2026-07-28_12-43-24_12345_local/checkpoints/last.ckpt,checkpoint_metadata | model_inventory,4,2,4,,,3,4,0
2026-08-01_tinystories_ecld_fixed_ddp2_lr1e3_warmup500_ecld1x1_384x6x6_seed12345,gpt2_ecld_lr1e3_384x6_s12345,ECLD,lr1e-3_failed_ablation,failed_degenerate_partial_progress16260_checkpoint8k,False,gpt2,50257,256,52056529.0,384.0,6.0,6.0,DIT RMS 384x6x6 full-sequence ECLD,100000.0,logs/train/2026-08-01_tinystories_ecld_fixed_ddp2_lr1e3_warmup500_ecld1x1_384x6x6_seed12345/checkpoints/best.ckpt,checkpoint_metadata | online_quality_curve | training_curve,8774,8740,22,0.0,16259.0,8774,8774,0
2026-08-01_tinystories_ecld_fixed_ddp2_lr1e4_warmup500_ecld1x1_384x6x6_seed12345,gpt2_ecld_lr1e4_384x6_s12345,ECLD,lr1e-4_fixed_reduction,run_completed_100k_only_step20k_weights_saved,True,gpt2,50257,256,52056529.0,384.0,6.0,6.0,DIT RMS 384x6x6 full-sequence ECLD,100000.0,results/tinystories_ecld_last_step20000_eval_20260802/checkpoint/last-step00020000.ckpt,checkpoint_metadata | external_generation_eval | online_quality_curve | training_curve,54046,53817,23,0.0,100000.0,54046,54046,0
AR_last_flat_artifact,gpt2_ar_checkpoint_corrupt,AR,gpt2_artifact_corrupt,checkpoint_corrupt_not_evaluable,,gpt2,50257,256,,384.0,6.0,6.0,intended GPT-2 AR 384x6x6; metadata incomplete,100000.0,baseline/AR_last.pt,checkpoint_metadata,1,1,1,,,1,1,0
ar_tinystories_seed12345,byte_ar_768x12_s12345,AR,byte_trained_100k,complete_100k_legacy_byte,True,byte,256,256,92596737.0,768.0,12.0,12.0,Rotary Transformer 768x12x12 byte,100000.0,baseline/ar_tinystories_seed12345/checkpoints/last.pt,checkpoint_metadata | external_generation_eval | internal_checkpoint_eval | sampler_diagnostic | tensorboard_scalar | validation_curve,60167,60066,49,1.0,100000.0,60127,60167,40
bd3lm_b16_tinystories_seed12345,byte_bd3lm_b16_768x12_s12345,BD3-LM,byte_block16_trained_100k,complete_100k_legacy_byte,True,byte,256,256,92596739.0,768.0,12.0,12.0,Rotary Transformer 768x12x12 byte block16,100000.0,baseline/bd3lm_b16_tinystories_seed12345/checkpoints/last.pt,checkpoint_metadata | external_generation_eval | internal_checkpoint_eval | sampler_diagnostic | tensorboard_scalar | validation_curve,103905,70146,63,1.0,100000.0,103815,103885,90
bd3lm_tinystories_gpt2_h384_l6_b16_seed12345,gpt2_bd3lm_b16_384x6_s12345,BD3-LM,best_canonical_100k,complete_100k_full_eval,True,gpt2,50257,256,51119444.0,384.0,6.0,6.0,AdaLN-Rotary 384x6x6 block16,100000.0,baseline/BD3LM_best.pt | baseline/BD3LM_last.pt,checkpoint_metadata | external_generation_eval | sequence_latency_benchmark,288,26,27,,,156,288,124
gold_tinystories_n2048,gold_tinystories,gold_reference,validation_reference,reference,True,gpt2,50257,256,0.0,,,,TinyStories validation reference,,,external_generation_eval | sanity_eval_duplicate,27,2,15,,,15,27,0
mdlm_tinystories_gpt2_h384_l6_seed12345,gpt2_mdlm_384x6_s12345,MDLM,best_canonical_100k,complete_100k_full_eval,True,gpt2,50257,256,51119442.0,384.0,6.0,6.0,AdaLN-Rotary 384x6x6,100000.0,baseline/MDLM_best.pt | baseline/MDLM_last.pt,checkpoint_metadata | external_generation_eval | sequence_latency_benchmark,216,19,27,,,118,216,90
tinystories_a100,gpt2_cfm_m1_384x6_s12345,CFM-M1,full_sequence_best_step68001,best_checkpoint_available,True,gpt2,50257,256,52056529.0,384.0,6.0,6.0,DIT RMS 384x6x6 full-sequence,100000.0,baseline/tinystories/NEW/tinystories_a100/checkpoints/best.ckpt,checkpoint_metadata | external_generation_eval | generation_benchmark | tensorboard_scalar,135376,135178,31,0.0,99999.0,135376,135376,0
